Zip Code,Price,Beds,Baths,Living Space,Zip Code Population,Zip Code Density,Median Household Income,Latitude,Longitude,State_Arizona,State_California,State_Colorado,State_District of Columbia,State_Florida,State_Georgia,State_Illinois,State_Indiana,State_Kansas,State_Kentucky,State_Louisiana,State_Maryland,State_Michigan,State_Minnesota,State_Missouri,State_Nebraska,State_Nevada,State_New Mexico,State_North Carolina,State_Ohio,State_Oklahoma,State_Tennessee,State_Texas,State_Virginia,State_Wisconsin
20001,1019900.0,4,4,2252,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,899000.0,3,3,1997,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,1525000.0,4,4,2724,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,565000.0,1,1,770,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,599000.0,2,1,1016,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,939000.0,3,3,2068,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,620000.0,2,2,858,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,889000.0,4,2,2223,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,779000.0,3,2,1016,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,930000.0,3,4,1801,45551,8590.7,165650.0,38.91002,-77.018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
